firm,category,segment,play_rating,ratings_count,n_reviews_analyzed,mean_sentiment,pain_rate,experience_score,ai_mention_rate,ai_sentiment,neg_ui_ux_rate,neg_performance_rate,neg_onboarding_kyc_rate,neg_customer_support_rate,neg_charges_fees_rate,neg_ai_features_rate,neg_trust_security_rate,active_clients_2025,active_clients_2026,source_2025,source_2026,notes,growth_pct
Groww,fintech,broker,4.7664137,2346135,2600,0.3699,0.0319,87.6,0.0027,0.048,0.0035,0.0177,0.0012,0.0131,0.0131,0.0012,0.0073,12480505,13053752,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026); cross-checked vs startuptalky June 2026,,4.593139460302287
Dhan,fintech,broker,4.38329,58424,2600,0.4441,0.0254,85.0,0.0027,0.5259,0.0104,0.0154,0.0012,0.0042,0.005,0.0008,0.0035,979483,1073293,chittorgarh.com top-20 brokers (year=2025),startuptalky.com June 2026 analysis (not in chittorgarh 2026 top 20),,9.57750160033406
SBI Securities,incumbent,broker,4.3521795,55718,2600,0.3627,0.0404,83.2,0.0015,0.5055,0.0092,0.0265,0.0027,0.0046,0.0238,0.0004,0.0096,1142868,1117736,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026),,-2.1990291092234604
Zerodha,fintech,broker,4.4264097,390192,2600,0.3395,0.0662,83.0,0.0062,0.4129,0.0204,0.0338,0.0065,0.01,0.02,0.0027,0.0096,6862233,6801078,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026); cross-checked vs startuptalky June 2026,,-0.8911822143025439
Angel One,fintech,broker,4.392057,1860754,2600,0.3163,0.0465,82.7,0.0019,0.0261,0.0065,0.0365,0.0012,0.0073,0.0208,0.0015,0.0085,6745594,6633833,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026); cross-checked vs startuptalky June 2026,,-1.6567999793643096
HDFC Securities,incumbent,broker,4.437724,41935,2600,0.2407,0.0842,81.3,0.0042,0.5948,0.0223,0.0423,0.0088,0.0188,0.02,0.0008,0.015,1429785,1344282,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026),,-5.980129879667217
ICICIdirect,incumbent,broker,4.553918,185641,2600,0.2036,0.1138,81.3,0.0042,-0.0644,0.0265,0.0785,0.0019,0.0131,0.0219,0.0027,0.0073,2045086,2121076,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026); cross-checked vs startuptalky June 2026,,3.7157361597507377
5paisa,fintech,broker,4.251931,655875,2600,0.2487,0.0019,81.2,0.0054,0.5569,0.0012,0.0004,0.0004,0.0004,0.0008,0.0,0.0004,343187,320693,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026),,-6.554444078592725
Kotak Neo,incumbent,broker,4.4357924,205960,2600,0.2321,0.09,81.0,0.0062,0.4914,0.0146,0.0635,0.0042,0.0177,0.0396,0.0008,0.0104,1368501,1379677,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026),,0.8166599805188302
Paytm Money,fintech,broker,4.438181,234524,2600,0.22,0.0996,80.7,0.0038,0.376,0.0112,0.0385,0.0073,0.0542,0.0254,0.0023,0.0154,860278,826579,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026),,-3.9172221072723
Upstox,fintech,broker,4.348478,489703,2600,0.2003,0.0858,79.8,0.0096,0.1591,0.0308,0.0254,0.0054,0.0319,0.0869,0.0054,0.0254,2036413,1887312,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026); cross-checked vs startuptalky June 2026,,-7.321746620160052
Mirae Asset Sharekhan,incumbent,broker,4.161568,127796,2600,0.0989,0.1404,75.3,0.0015,0.6113,0.0442,0.0923,0.0035,0.0104,0.0288,0.0004,0.0188,533563,525545,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026),,-1.5027278878033123
Motilal Oswal,incumbent,broker,3.3976233,11110,2600,0.0749,0.1323,67.5,0.0162,0.0308,0.05,0.0658,0.005,0.0242,0.0681,0.0096,0.0396,904002,898736,chittorgarh.com top-20 brokers (year=2025),chittorgarh.com top-20 brokers (year=2026),,-0.5825208351308953
