firm,category,segment,play_rating,ratings_count,n_reviews_analyzed,mean_sentiment,pain_rate,experience_score,ai_mention_rate,ai_sentiment,neg_ui_ux_rate,neg_performance_rate,neg_onboarding_kyc_rate,neg_customer_support_rate,neg_charges_fees_rate,neg_ai_features_rate,neg_trust_security_rate
Groww,fintech,broker,4.7664137,2346135,2600,0.3699,0.0319,87.6,0.0027,0.048,0.0035,0.0177,0.0012,0.0131,0.0131,0.0012,0.0073
Dhan,fintech,broker,4.38329,58424,2600,0.4441,0.0254,85.0,0.0027,0.5259,0.0104,0.0154,0.0012,0.0042,0.005,0.0008,0.0035
INDmoney,fintech,platform,4.562088,453946,2600,0.3141,0.0596,84.1,0.0092,0.0687,0.0127,0.0215,0.0112,0.0246,0.0135,0.0054,0.0181
SBI Securities,incumbent,broker,4.3521795,55718,2600,0.3627,0.0404,83.2,0.0015,0.5055,0.0092,0.0265,0.0027,0.0046,0.0238,0.0004,0.0096
Zerodha,fintech,broker,4.4264097,390192,2600,0.3395,0.0662,83.0,0.0062,0.4129,0.0204,0.0338,0.0065,0.01,0.02,0.0027,0.0096
Angel One,fintech,broker,4.392057,1860754,2600,0.3163,0.0465,82.7,0.0019,0.0261,0.0065,0.0365,0.0012,0.0073,0.0208,0.0015,0.0085
HDFC Securities,incumbent,broker,4.437724,41935,2600,0.2407,0.0842,81.3,0.0042,0.5948,0.0223,0.0423,0.0088,0.0188,0.02,0.0008,0.015
ICICIdirect,incumbent,broker,4.553918,185641,2600,0.2036,0.1138,81.3,0.0042,-0.0644,0.0265,0.0785,0.0019,0.0131,0.0219,0.0027,0.0073
5paisa,fintech,broker,4.251931,655875,2600,0.2487,0.0019,81.2,0.0054,0.5569,0.0012,0.0004,0.0004,0.0004,0.0008,0.0,0.0004
Kotak Neo,incumbent,broker,4.4357924,205960,2600,0.2321,0.09,81.0,0.0062,0.4914,0.0146,0.0635,0.0042,0.0177,0.0396,0.0008,0.0104
Paytm Money,fintech,broker,4.438181,234524,2600,0.22,0.0996,80.7,0.0038,0.376,0.0112,0.0385,0.0073,0.0542,0.0254,0.0023,0.0154
Upstox,fintech,broker,4.348478,489703,2600,0.2003,0.0858,79.8,0.0096,0.1591,0.0308,0.0254,0.0054,0.0319,0.0869,0.0054,0.0254
ET Money,fintech,platform,4.4133925,231583,2600,0.1712,0.1546,78.6,0.0088,0.3102,0.0881,0.0281,0.0219,0.0304,0.0196,0.0062,0.0192
Mirae Asset Sharekhan,incumbent,broker,4.161568,127796,2600,0.0989,0.1404,75.3,0.0015,0.6113,0.0442,0.0923,0.0035,0.0104,0.0288,0.0004,0.0188
Coin by Zerodha,fintech,platform,3.832813,29240,2600,0.1936,0.1312,73.6,0.0058,-0.0098,0.0388,0.07,0.0108,0.0231,0.0296,0.0027,0.0138
Kuvera,fintech,platform,3.4159343,18191,2600,0.2261,0.2042,68.5,0.0135,0.4079,0.1196,0.05,0.0196,0.0435,0.0085,0.0054,0.0204
Motilal Oswal,incumbent,broker,3.3976233,11110,2600,0.0749,0.1323,67.5,0.0162,0.0308,0.05,0.0658,0.005,0.0242,0.0681,0.0096,0.0396
